ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
,c1ccc(CNCC[C@H]2CCC[C@@H](c3ccccc3)O2)cc1,"SYA013-D-(2R,6S)-16",426.0,NewLiterature,,10.1016/j.bmc.2022.117051
,c1ccc(CNCC[C@@H]2CCC[C@H](c3ccccc3)O2)cc1,"SYA013-D-(2S,6R)-16",378.0,NewLiterature,,10.1016/j.bmc.2022.117052
,c1ccc([C@@H]2CCC[C@H](CCNCCC3CCCCC3)O2)cc1,"SYA013-D-(2R,6S)-17",36.0,NewLiterature,,10.1016/j.bmc.2022.117053
,c1ccc([C@H]2CCC[C@@H](CCNCCC3CCCCC3)O2)cc1,"SYA013-D-(2S,6R)-17",57.0,NewLiterature,,10.1016/j.bmc.2022.117054
,c1ccc(CNCCC2CCN[C@H](c3ccccc3)C2)cc1,SYA013-D-18,372.0,NewLiterature,,10.1016/j.bmc.2022.117055
,CN1CCC(CCNCC2CCCCC2)C[C@H]1c1ccccc1,SYA013-D-19,285.0,NewLiterature,,10.1016/j.bmc.2022.117056
,CN(CCC1CCN(C)[C@H](c2ccccc2)C1)Cc1ccccc1,SYA013-D-20,77.0,NewLiterature,,10.1016/j.bmc.2022.117057
,CN1CCC(CCN2CCN(c3ccccc3)CC2)C[C@H]1c1ccccc1,SYA013-D-21,1600.0,NewLiterature,,10.1016/j.bmc.2022.117058
,CC(CCN1CCC(Cc2ccccc2)CC1)c1ccccc1,SYA013-D-25,6.5,NewLiterature,,10.1016/j.bmc.2022.117059
,C/C(=C\CN1CCC(Cc2ccccc2)CC1)c1ccc2ccccc2c1,RC-106(SYA013-D-25),22.0,NewLiterature,,10.1016/j.bmc.2022.117060
,Clc1ccc2sc(SCCCN3CCCCCC3)nc2c1,SYA013-D-29,7.9,NewLiterature,,10.1016/j.bmc.2022.117061
,O=c1oc2ccc(Cl)cc2n1CCCCN1CCCCCC1,SYA013-D-30,3.8,NewLiterature,,10.1016/j.bmc.2022.117062
,O=c1sc2ccc(Cl)cc2n1CCCCN1CCCCCC1,SYA013-D-31,7.61,NewLiterature,,10.1016/j.bmc.2022.117063
,COc1cccc2c1CCC[C@H]2CCCN1CCN(C2CCCCC2)CC1,(-)-R-PB28,0.49,NewLiterature,,10.1038/s41598-023-39662-w
,COc1cccc2c1CCC[C@@H]2CCCN1CCN(C2CCCCC2)CC1,(+)-S-PB28,1.18,NewLiterature,,10.1038/s41598-023-39663-w
,COc1cccc2c1CCCC2N1CCN(C2CCCCC2)CC1,1,7.9,NewLiterature,,10.1038/s41598-023-39664-w
,COc1cccc2c1CCCC2CN1CCN(C2CCCCC2)CC1,2,16.4,NewLiterature,,10.1038/s41598-023-39665-w
